Pclass,Cabin,counts
1,,40
1,C23 C25 C27,4
1,B96 B98,4
1,C22 C26,3
1,C83,2
1,C78,2
1,C65,2
1,C52,2
1,C126,2
1,C2,2
1,C93,2
1,C125,2
1,C124,2
1,C123,2
1,C92,2
1,D26,2
1,D17,2
1,D20,2
1,D33,2
1,B77,2
1,D36,2
1,E24,2
1,E25,2
1,E33,2
1,E44,2
1,E67,2
1,E8,2
1,D35,2
1,C68,2
1,B28,2
1,B35,2
1,B18,2
1,B49,2
1,B5,2
1,B51 B53 B55,2
1,B57 B59 B63 B66,2
1,B58 B60,2
1,B22,2
1,B20,2
1,D46,1
1,D47,1
1,E38,1
1,E36,1
1,E34,1
1,B101,1
1,E31,1
1,B102,1
1,D30,1
1,E17,1
1,E12,1
1,D9,1
1,B19,1
1,D37,1
1,A7,1
1,D7,1
1,D6,1
1,D50,1
1,D49,1
1,D45,1
1,D48,1
1,E40,1
1,B73,1
1,E46,1
1,E49,1
1,A16,1
1,A19,1
1,A20,1
1,A23,1
1,A24,1
1,A26,1
1,A31,1
1,A32,1
1,A34,1
1,A36,1
1,T,1
1,A5,1
1,E68,1
1,A6,1
1,E63,1
1,E58,1
1,D28,1
1,E50,1
1,D19,1
1,D21,1
1,C110,1
1,C46,1
1,C45,1
1,C32,1
1,C30,1
1,B42,1
1,C148,1
1,C128,1
1,B50,1
1,C118,1
1,C111,1
1,C106,1
1,C49,1
1,C104,1
1,C103,1
1,C101,1
1,B69,1
1,B94,1
1,B86,1
1,B82 B84,1
1,B80,1
1,B79,1
1,B78,1
1,C47,1
1,C50,1
1,B3,1
1,C87,1
1,B71,1
1,B30,1
1,D15,1
1,D11,1
1,D10 D12,1
1,C99,1
1,C95,1
1,B37,1
1,C91,1
1,C90,1
1,C86,1
1,B41,1
1,C85,1
1,B38,1
1,C82,1
1,B39,1
1,C70,1
1,C7,1
1,A14,1
1,B4,1
1,C62 C64,1
1,C54,1
1,A10,1
2,,168
2,F33,3
2,F2,3
2,E101,3
2,D,3
2,F4,2
2,E77,1
2,D56,1
3,,479
3,G6,4
3,E121,2
3,F G73,2
3,F38,1
3,F G63,1
3,F E69,1
3,E10,1
